cell_x,cell_y,gt_label,pred_label
8634.0,8340.0,stromal cells,immune cells
8869.0,7600.0,stromal cells,other
8727.0,6527.0,stromal cells,stromal cells
8691.0,7660.0,immune cells,stromal cells
7662.0,7660.0,immune cells,other
8571.0,9372.0,immune cells,other
8086.0,8601.0,immune cells,unmatched
8935.0,8640.0,epithelial cells,epithelial cells
8866.0,7434.0,immune cells,other
9485.0,7701.0,immune cells,other
7671.0,6633.0,immune cells,other
7363.0,6632.0,immune cells,immune cells
9598.0,7260.0,epithelial cells,other
8690.0,6866.0,stromal cells,other
8981.0,6980.0,immune cells,epithelial cells
8951.0,9051.0,immune cells,immune cells
8818.0,7142.0,immune cells,epithelial cells
7560.0,6635.0,immune cells,immune cells
7609.0,8080.0,stromal cells,immune cells
9764.0,6600.0,epithelial cells,immune cells
8713.0,7099.0,stromal cells,stromal cells
8876.0,9061.0,epithelial cells,immune cells
7688.0,6895.0,stromal cells,stromal cells
8952.0,7892.0,immune cells,stromal cells
8947.0,7861.0,immune cells,stromal cells
7337.0,6800.0,immune cells,immune cells
8202.0,7049.0,immune cells,stromal cells
8251.0,9141.0,stromal cells,other
6889.0,6919.0,stromal cells,stromal cells
9622.0,7933.0,immune cells,other
7228.0,8910.0,stromal cells,other
7503.0,8145.0,immune cells,immune cells
9086.0,8796.0,immune cells,stromal cells
8931.0,7715.0,epithelial cells,epithelial cells
9451.0,8502.0,stromal cells,epithelial cells
8972.0,7096.0,immune cells,other
7765.0,7510.0,immune cells,immune cells
8892.0,6925.0,immune cells,other
6907.0,8412.0,stromal cells,stromal cells
8477.0,6728.0,epithelial cells,other
8951.0,8349.0,immune cells,immune cells
8513.0,8021.0,epithelial cells,immune cells
7176.0,7087.0,epithelial cells,other
8186.0,8991.0,immune cells,immune cells
9852.0,8176.0,epithelial cells,immune cells
9847.0,7387.0,immune cells,other
8916.0,8765.0,epithelial cells,other
9560.0,7603.0,epithelial cells,immune cells
8533.0,7161.0,immune cells,epithelial cells
9672.0,9172.0,immune cells,epithelial cells
8909.0,6898.0,immune cells,immune cells
7480.0,9322.0,immune cells,immune cells
8815.0,6696.0,epithelial cells,epithelial cells
7157.0,7863.0,stromal cells,immune cells
8865.0,8999.0,immune cells,other
9418.0,7253.0,epithelial cells,epithelial cells
6909.0,7366.0,epithelial cells,stromal cells
6905.0,6634.0,immune cells,stromal cells
8706.0,9346.0,stromal cells,epithelial cells
7029.0,6802.0,stromal cells,stromal cells
9233.0,7776.0,immune cells,other
8854.0,8159.0,epithelial cells,immune cells
8913.0,8497.0,epithelial cells,epithelial cells
9783.0,8050.0,immune cells,epithelial cells
7996.0,7204.0,stromal cells,other
9272.0,9003.0,immune cells,epithelial cells
7210.0,7683.0,stromal cells,stromal cells
7450.0,8882.0,stromal cells,immune cells
7444.0,8178.0,immune cells,stromal cells
8474.0,7963.0,immune cells,other
9176.0,9415.0,immune cells,immune cells
9365.0,8936.0,epithelial cells,epithelial cells
7058.0,8395.0,stromal cells,stromal cells
8717.0,8564.0,stromal cells,stromal cells
